DEXJPUS,lag1,lag2,lag3,lag4,lag5
97.7,97.46,97.28,98.14,97.85,98.58
98.09,97.7,97.36,98.18,97.77,98.9
98.14,98.09,97.46,97.28,98.14,97.85
98.1,98.14,97.7,97.36,98.18,97.77
98.78,98.1,98.09,97.46,97.28,98.14
98.62,98.78,98.14,97.7,97.36,98.18
98.6,98.62,98.1,98.09,97.46,97.28
98.6,98.6,98.78,98.14,97.7,97.36
98.56,98.6,98.62,98.1,98.09,97.46
99.03,98.56,98.6,98.78,98.14,97.7
99.65,99.03,98.6,98.62,98.1,98.09
99.31,99.65,98.56,98.6,98.78,98.14
99.93,99.31,99.03,98.6,98.62,98.1
100.17,99.93,99.65,98.56,98.6,98.78
100.04,100.17,99.31,99.03,98.6,98.62
100.14,100.04,99.93,99.65,98.56,98.6
100.02,100.14,100.17,99.31,99.03,98.6
100.95,100.02,100.04,99.93,99.65,98.56
101.29,100.95,100.14,100.17,99.31,99.03
101.7,101.29,100.02,100.04,99.93,99.65
101.38,101.7,100.95,100.14,100.17,99.31
102.18,101.38,101.29,100.02,100.04,99.93
102.45,102.18,101.7,100.95,100.14,100.17
103.04,102.45,101.38,101.29,100.02,100.04
102.36,103.04,102.18,101.7,100.95,100.14
102.48,102.36,102.45,101.38,101.29,100.02
101.82,102.48,103.04,102.18,101.7,100.95
102.88,101.82,102.36,102.45,101.38,101.29
103.22,102.88,102.48,103.04,102.18,101.7
102.8,103.22,101.82,102.36,102.45,101.38
102.38,102.8,102.88,102.48,103.04,102.18
103.11,102.38,103.22,101.82,102.36,102.45
103.28,103.11,102.8,102.88,102.48,103.04
102.91,103.28,102.38,103.22,101.82,102.36
102.63,102.91,103.11,102.8,102.88,102.48
103.18,102.63,103.28,102.38,103.22,101.82
104.16,103.18,102.91,103.11,102.8,102.88
104.07,104.16,102.63,103.28,102.38,103.22
104.06,104.07,103.18,102.91,103.11,102.8
104.26,104.06,104.16,102.63,103.28,102.38
104.72,104.26,104.07,103.18,102.91,103.11
105.05,104.72,104.06,104.16,102.63,103.28
105,105.05,104.26,104.07,103.18,102.91
105.25,105,104.72,104.06,104.16,102.63
104.84,105.25,105.05,104.26,104.07,103.18
104.46,104.84,105,104.72,104.06,104.16
104.38,104.46,105.25,105.05,104.26,104.07
104.54,104.38,104.84,105,104.72,104.06
104.87,104.54,104.46,105.25,105.05,104.26
104.74,104.87,104.38,104.84,105,104.72
104.06,104.74,104.54,104.46,105.25,105.05
103.31,104.06,104.87,104.38,104.84,105
103.8,103.31,104.74,104.54,104.46,105.25
104.42,103.8,104.06,104.87,104.38,104.84
104.32,104.42,103.31,104.74,104.54,104.46
104.32,104.32,103.8,104.06,104.87,104.38
104.14,104.32,104.42,103.31,104.74,104.54
104.36,104.14,104.32,103.8,104.06,104.87
103.65,104.36,104.32,104.42,103.31,104.74
102.41,103.65,104.14,104.32,103.8,104.06
102.26,102.41,104.36,104.32,104.42,103.31
102.8,102.26,103.65,104.14,104.32,103.8
102.2,102.8,102.41,104.36,104.32,104.42
102.83,102.2,102.26,103.65,104.14,104.32
102.28,102.83,102.8,102.41,104.36,104.32
101.11,102.28,102.2,102.26,103.65,104.14
101.62,101.11,102.83,102.8,102.41,104.36
101.38,101.62,102.28,102.2,102.26,103.65
101.84,101.38,101.11,102.83,102.8,102.41
102.32,101.84,101.62,102.28,102.2,102.26
102.14,102.32,101.38,101.11,102.83,102.8
102.63,102.14,101.84,101.62,102.28,102.2
102.48,102.63,102.32,101.38,101.11,102.83
102.2,102.48,102.14,101.84,101.62,102.28
101.82,102.2,102.63,102.32,101.38,101.11
102.31,101.82,102.48,102.14,101.84,101.62
102.3,102.31,102.2,102.63,102.32,101.38
102.32,102.3,101.82,102.48,102.14,101.84
102.71,102.32,102.31,102.2,102.63,102.32
102.44,102.71,102.3,101.82,102.48,102.14
102.2,102.44,102.32,102.31,102.2,102.63
102.36,102.2,102.71,102.3,101.82,102.48
102.12,102.36,102.44,102.32,102.31,102.2
102.08,102.12,102.2,102.71,102.3,101.82
101.36,102.08,102.36,102.44,102.32,102.31
102.18,101.36,102.12,102.2,102.71,102.3
102.32,102.18,102.08,102.36,102.44,102.32
103.03,102.32,101.36,102.12,102.2,102.71
103.38,103.03,102.18,102.08,102.36,102.44
103.23,103.38,102.32,101.36,102.12,102.2
103.18,103.23,103.03,102.18,102.08,102.36
102.74,103.18,103.38,102.32,101.36,102.12
102.12,102.74,103.23,103.03,102.18,102.08
101.46,102.12,103.18,103.38,102.32,101.36
101.62,101.46,102.74,103.23,103.03,102.18
101.37,101.62,102.12,103.18,103.38,102.32
101.54,101.37,101.46,102.74,103.23,103.03
102.39,101.54,101.62,102.12,103.18,103.38
102.38,102.39,101.37,101.46,102.74,103.23
102.21,102.38,101.54,101.62,102.12,103.18
102.32,102.21,102.39,101.37,101.46,102.74
102.3,102.32,102.38,101.54,101.62,102.12
