DEXJPUS,lag1,lag2,lag3,lag4,lag5
124.27,124.32,124.9,124.27,124.84,123.98
124.33,124.27,123.87,124.55,124.6,124
124.39,124.33,124.32,124.9,124.27,124.84
124.1,124.39,124.27,123.87,124.55,124.6
123.54,124.1,124.33,124.32,124.9,124.27
122.11,123.54,124.39,124.27,123.87,124.55
118.56,122.11,124.1,124.33,124.32,124.9
119.91,118.56,123.54,124.39,124.27,123.87
119.07,119.91,122.11,124.1,124.33,124.32
120.89,119.07,118.56,123.54,124.39,124.27
121.32,120.89,119.91,122.11,124.1,124.33
121.26,121.32,119.07,118.56,123.54,124.39
119.94,121.26,120.89,119.91,122.11,124.1
120,119.94,121.32,119.07,118.56,123.54
120.2,120,121.26,120.89,119.91,122.11
119.05,120.2,119.94,121.32,119.07,118.56
119.72,119.05,120,121.26,120.89,119.91
120.94,119.72,120.2,119.94,121.32,119.07
120.71,120.94,119.05,120,121.26,120.89
120.66,120.71,119.72,120.2,119.94,121.32
119.92,120.66,120.94,119.05,120,121.26
120.3,119.92,120.71,119.72,120.2,119.94
120.62,120.3,120.66,120.94,119.05,120
120.9,120.62,119.92,120.71,119.72,120.2
119.85,120.9,120.3,120.66,120.94,119.05
120.46,119.85,120.62,119.92,120.71,119.72
120.04,120.46,120.9,120.3,120.66,120.94
120.12,120.04,119.85,120.62,119.92,120.71
119.54,120.12,120.46,120.9,120.3,120.66
120.74,119.54,120.04,119.85,120.62,119.92
119.82,120.74,120.12,120.46,120.9,120.3
119.76,119.82,119.54,120.04,119.85,120.62
119.81,119.76,120.74,120.12,120.46,120.9
119.58,119.81,119.82,119.54,120.04,119.85
119.42,119.58,119.76,120.74,120.12,120.46
120.36,119.42,119.81,119.82,119.54,120.04
120.18,120.36,119.58,119.76,120.74,120.12
119.9,120.18,119.42,119.81,119.82,119.54
119.94,119.9,120.36,119.58,119.76,120.74
120.3,119.94,120.18,119.42,119.81,119.82
119.8,120.3,119.9,120.36,119.58,119.76
119.21,119.8,119.94,120.18,119.42,119.81
118.26,119.21,120.3,119.9,120.36,119.58
119.6,118.26,119.8,119.94,120.18,119.42
119.5,119.6,119.21,120.3,119.9,120.36
119.79,119.5,118.26,119.8,119.94,120.18
119.91,119.79,119.6,119.21,120.3,119.9
120.5,119.91,119.5,118.26,119.8,119.94
121.2,120.5,119.79,119.6,119.21,120.3
120.87,121.2,119.91,119.5,118.26,119.8
120.29,120.87,120.5,119.79,119.6,119.21
120.56,120.29,121.2,119.91,119.5,118.26
121.14,120.56,120.87,120.5,119.79,119.6
120.7,121.14,120.29,121.2,119.91,119.5
120.7,120.7,120.56,120.87,120.5,119.79
121.2,120.7,121.14,120.29,121.2,119.91
121.52,121.2,120.7,120.56,120.87,120.5
121.71,121.52,120.7,121.14,120.29,121.2
123.2,121.71,121.2,120.7,120.56,120.87
123.04,123.2,121.52,120.7,121.14,120.29
123.22,123.04,121.71,121.2,120.7,120.56
122.84,123.22,123.2,121.52,120.7,121.14
122.93,122.84,123.04,121.71,121.2,120.7
123.11,122.93,123.22,123.2,121.52,120.7
123.48,123.11,122.84,123.04,121.71,121.2
123.51,123.48,122.93,123.22,123.2,121.52
122.71,123.51,123.11,122.84,123.04,121.71
122.8,122.71,123.48,122.93,123.22,123.2
123.02,122.8,123.51,123.11,122.84,123.04
122.47,123.02,122.71,123.48,122.93,123.22
122.7,122.47,122.8,123.51,123.11,122.84
122.84,122.7,123.02,122.71,123.48,122.93
123.22,122.84,122.47,122.8,123.51,123.11
122.88,123.22,122.7,123.02,122.71,123.48
123.52,122.88,122.84,122.47,122.8,123.51
123.06,123.52,123.22,122.7,123.02,122.71
123.1,123.06,122.88,122.84,122.47,122.8
123.31,123.1,123.52,123.22,122.7,123.02
123,123.31,123.06,122.88,122.84,122.47
121.86,123,123.1,123.52,123.22,122.7
121.44,121.86,123.31,123.06,122.88,122.84
120.94,121.44,123,123.1,123.52,123.22
120.57,120.94,121.86,123.31,123.06,122.88
121.66,120.57,121.44,123,123.1,123.52
121.88,121.66,120.94,121.86,123.31,123.06
122.75,121.88,120.57,121.44,123,123.1
121.2,122.75,121.66,120.94,121.86,123.31
120.99,121.2,121.88,120.57,121.44,123
120.94,120.99,122.75,121.66,120.94,121.86
120.94,120.94,121.2,121.88,120.57,121.44
120.32,120.94,120.99,122.75,121.66,120.94
120.3,120.32,120.94,121.2,121.88,120.57
120.44,120.3,120.94,120.99,122.75,121.66
120.6,120.44,120.32,120.94,121.2,121.88
120.27,120.6,120.3,120.94,120.99,122.75
119.3,120.27,120.44,120.32,120.94,121.2
118.95,119.3,120.6,120.3,120.94,120.99
118.54,118.95,120.27,120.44,120.32,120.94
118,118.54,119.3,120.6,120.3,120.94
117.74,118,118.95,120.27,120.44,120.32
117.48,117.74,118.54,119.3,120.6,120.3
117.78,117.48,118,118.95,120.27,120.44
118.06,117.78,117.74,118.54,119.3,120.6
118.03,118.06,117.48,118,118.95,120.27
116.78,118.03,117.78,117.74,118.54,119.3
117.66,116.78,118.06,117.48,118,118.95
116.38,117.66,118.03,117.78,117.74,118.54
117.61,116.38,116.78,118.06,117.48,118
118.37,117.61,117.66,118.03,117.78,117.74
118.55,118.37,116.38,116.78,118.06,117.48
118.5,118.55,117.61,117.66,118.03,117.78
118.9,118.5,118.37,116.38,116.78,118.06
118.61,118.9,118.55,117.61,117.66,118.03
121.05,118.61,118.5,118.37,116.38,116.78
121.06,121.05,118.9,118.55,117.61,117.66
120.27,121.06,118.61,118.5,118.37,116.38
117.92,120.27,121.05,118.9,118.55,117.61
116.75,117.92,121.06,118.61,118.5,118.37
116.99,116.75,120.27,121.05,118.9,118.55
115.7,116.99,117.92,121.06,118.61,118.5
114.8,115.7,116.75,120.27,121.05,118.9
114.03,114.8,116.99,117.92,121.06,118.61
111.72,114.03,115.7,116.75,120.27,121.05
112.96,111.72,114.8,116.99,117.92,121.06
113.9,112.96,114.03,115.7,116.75,120.27
114.14,113.9,111.72,114.8,116.99,117.92
113.62,114.14,112.96,114.03,115.7,116.75
112.42,113.62,113.9,111.72,114.8,116.99
113.12,112.42,114.14,112.96,114.03,115.7
112.17,113.12,113.62,113.9,111.72,114.8
111.36,112.17,112.42,114.14,112.96,114.03
112.7,111.36,113.12,113.62,113.9,111.72
113.78,112.7,112.17,112.42,114.14,112.96
112.9,113.78,111.36,113.12,113.62,113.9
113.94,112.9,112.7,112.17,112.42,114.14
113.81,113.94,113.78,111.36,113.12,113.62
113.53,113.81,112.9,112.7,112.17,112.42
113.91,113.53,113.94,113.78,111.36,113.12
113.6,113.91,113.81,112.9,112.7,112.17
112.58,113.6,113.53,113.94,113.78,111.36
113.06,112.58,113.91,113.81,112.9,112.7
113.1,113.06,113.6,113.53,113.94,113.78
113.66,113.1,112.58,113.91,113.81,112.9
113.59,113.66,113.06,113.6,113.53,113.94
112.88,113.59,113.1,112.58,113.91,113.81
113.69,112.88,113.66,113.06,113.6,113.53
111.3,113.69,113.59,113.1,112.58,113.91
111.38,111.3,112.88,113.66,113.06,113.6
111.62,111.38,113.69,113.59,113.1,112.58
111.82,111.62,111.3,112.88,113.66,113.06
112.63,111.82,111.38,113.69,113.59,113.1
112.64,112.63,111.62,111.3,112.88,113.66
113.05,112.64,111.82,111.38,113.69,113.59
113.29,113.05,112.63,111.62,111.3,112.88
113.33,113.29,112.64,111.82,111.38,113.69
112.6,113.33,113.05,112.63,111.62,111.3
112.42,112.6,113.29,112.64,111.82,111.38
112.06,112.42,113.33,113.05,112.63,111.62
111.18,112.06,112.6,113.29,112.64,111.82
110.26,111.18,112.42,113.33,113.05,112.63
109.63,110.26,112.06,112.6,113.29,112.64
107.98,109.63,111.18,112.42,113.33,113.05
108.36,107.98,110.26,112.06,112.6,113.29
107.96,108.36,109.63,111.18,112.42,113.33
108.54,107.96,107.98,110.26,112.06,112.6
109.21,108.54,108.36,109.63,111.18,112.42
109.2,109.21,107.96,107.98,110.26,112.06
108.76,109.2,108.54,108.36,109.63,111.18
108.85,108.76,109.21,107.96,107.98,110.26
109.16,108.85,109.2,108.54,108.36,109.63
109.51,109.16,108.76,109.21,107.96,107.98
109.41,109.51,108.85,109.2,108.54,108.36
111.5,109.41,109.16,108.76,109.21,107.96
111.08,111.5,109.51,108.85,109.2,108.54
111.23,111.08,109.41,109.16,108.76,109.21
111.26,111.23,111.5,109.51,108.85,109.2
108.55,111.26,111.08,109.41,109.16,108.76
106.9,108.55,111.23,111.5,109.51,108.85
106.48,106.9,111.26,111.08,109.41,109.16
106.34,106.48,108.55,111.23,111.5,109.51
107.12,106.34,106.9,111.26,111.08,109.41
107.32,107.12,106.48,108.55,111.23,111.5
106.66,107.32,106.34,106.9,111.26,111.08
108.39,106.66,107.12,106.48,108.55,111.23
109.22,108.39,107.32,106.34,106.9,111.26
108.48,109.22,106.66,107.12,106.48,108.55
108.73,108.48,108.39,107.32,106.34,106.9
109.14,108.73,109.22,106.66,107.12,106.48
108.89,109.14,108.48,108.39,107.32,106.34
109.02,108.89,108.73,109.22,106.66,107.12
109.65,109.02,109.14,108.48,108.39,107.32
109.81,109.65,108.89,108.73,109.22,106.66
110.52,109.81,109.02,109.14,108.48,108.39
109.47,110.52,109.65,108.89,108.73,109.22
110,109.47,109.81,109.02,109.14,108.48
110.22,110,110.52,109.65,108.89,108.73
109.74,110.22,109.47,109.81,109.02,109.14
109.86,109.74,110,110.52,109.65,108.89
110.75,109.86,110.22,109.47,109.81,109.02
109.55,110.75,109.74,110,110.52,109.65
108.75,109.55,109.86,110.22,109.47,109.81
106.88,108.75,110.75,109.74,110,110.52
107.33,106.88,109.55,109.86,110.22,109.47
107.3,107.33,108.75,110.75,109.74,110
106.68,107.3,106.88,109.55,109.86,110.22
106.54,106.68,107.33,108.75,110.75,109.74
107.06,106.54,107.3,106.88,109.55,109.86
106.07,107.06,106.68,107.33,108.75,110.75
106.02,106.07,106.54,107.3,106.88,109.55
105.87,106.02,107.06,106.68,107.33,108.75
104.05,105.87,106.07,106.54,107.3,106.88
104.2,104.05,106.02,107.06,106.68,107.33
104.32,104.2,105.87,106.07,106.54,107.3
104.56,104.32,104.05,106.02,107.06,106.68
104.56,104.56,104.2,105.87,106.07,106.54
105.9,104.56,104.32,104.05,106.02,107.06
102.26,105.9,104.56,104.2,105.87,106.07
101.66,102.26,104.56,104.32,104.05,106.02
102.71,101.66,105.9,104.56,104.2,105.87
102.68,102.71,102.26,104.56,104.32,104.05
102.77,102.68,101.66,105.9,104.56,104.2
102.55,102.77,102.71,102.26,104.56,104.32
101.58,102.55,102.68,101.66,105.9,104.56
101.12,101.58,102.77,102.71,102.26,104.56
100.74,101.12,102.55,102.68,101.66,105.9
100.65,100.74,101.58,102.77,102.71,102.26
102.66,100.65,101.12,102.55,102.68,101.66
104.72,102.66,100.74,101.58,102.77,102.71
104.1,104.72,100.65,101.12,102.55,102.68
105.4,104.1,102.66,100.74,101.58,102.77
105.64,105.4,104.72,100.65,101.12,102.55
106,105.64,104.1,102.66,100.74,101.58
106.13,106,105.4,104.72,100.65,101.12
106.65,106.13,105.64,104.1,102.66,100.74
105.98,106.65,106,105.4,104.72,100.65
106.22,105.98,106.13,105.64,104.1,102.66
106.02,106.22,106.65,106,105.4,104.72
104.83,106.02,105.98,106.13,105.64,104.1
105.65,104.83,106.22,106.65,106,105.4
104.86,105.65,106.02,105.98,106.13,105.64
102.32,104.86,104.83,106.22,106.65,106
102.26,102.32,105.65,106.02,105.98,106.13
100.82,102.26,104.86,104.83,106.22,106.65
101.34,100.82,102.32,105.65,106.02,105.98
101.08,101.34,102.26,104.86,104.83,106.22
101.74,101.08,100.82,102.32,105.65,106.02
102.53,101.74,101.34,102.26,104.86,104.83
101.96,102.53,101.08,100.82,102.32,105.65
101.27,101.96,101.74,101.34,102.26,104.86
101.46,101.27,102.53,101.08,100.82,102.32
101.01,101.46,101.96,101.74,101.34,102.26
101.02,101.01,101.27,102.53,101.08,100.82
100.28,101.02,101.46,101.96,101.74,101.34
100.24,100.28,101.01,101.27,102.53,101.08
100.07,100.24,101.02,101.46,101.96,101.74
100.24,100.07,100.28,101.01,101.27,102.53
100.25,100.24,100.24,101.02,101.46,101.96
100.2,100.25,100.07,100.28,101.01,101.27
100.5,100.2,100.24,100.24,101.02,101.46
100.58,100.5,100.25,100.07,100.28,101.01
101.2,100.58,100.2,100.24,100.24,101.02
102.13,101.2,100.5,100.25,100.07,100.28
102.92,102.13,100.58,100.2,100.24,100.24
103.38,102.92,101.2,100.5,100.25,100.07
103.22,103.38,102.13,100.58,100.2,100.24
104.18,103.22,102.92,101.2,100.5,100.25
102.28,104.18,103.38,102.13,100.58,100.2
101.72,102.28,103.22,102.92,101.2,100.5
102.28,101.72,104.18,103.38,102.13,100.58
102.86,102.28,102.28,103.22,102.92,101.2
101.96,102.86,101.72,104.18,103.38,102.13
102.14,101.96,102.28,102.28,103.22,102.92
102.33,102.14,102.86,101.72,104.18,103.38
102.24,102.33,101.96,102.28,102.28,103.22
102.36,102.24,102.14,102.86,101.72,104.18
101.82,102.36,102.33,101.96,102.28,102.28
101.66,101.82,102.24,102.14,102.86,101.72
100.62,101.66,102.36,102.33,101.96,102.28
100.8,100.62,101.82,102.24,102.14,102.86
101.04,100.8,101.66,102.36,102.33,101.96
100.34,101.04,100.62,101.82,102.24,102.14
100.36,100.34,100.8,101.66,102.36,102.33
100.57,100.36,101.04,100.62,101.82,102.24
101.48,100.57,100.34,100.8,101.66,102.36
101.21,101.48,100.36,101.04,100.62,101.82
101.54,101.21,100.57,100.34,100.8,101.66
102.66,101.54,101.48,100.36,101.04,100.62
103.53,102.66,101.21,100.57,100.34,100.8
104.02,103.53,101.54,101.48,100.36,101.04
103.42,104.02,102.66,101.21,100.57,100.34
103.36,103.42,103.53,101.54,101.48,100.36
104.48,103.36,104.02,102.66,101.21,100.57
103.62,104.48,103.42,103.53,101.54,101.48
104.1,103.62,103.36,104.02,102.66,101.21
103.96,104.1,104.48,103.42,103.53,101.54
103.8,103.96,103.62,103.36,104.02,102.66
103.3,103.8,104.1,104.48,103.42,103.53
103.92,103.3,103.96,103.62,103.36,104.02
103.96,103.92,103.8,104.1,104.48,103.42
104.2,103.96,103.3,103.96,103.62,103.36
104.25,104.2,103.92,103.8,104.1,104.48
104.42,104.25,103.96,103.3,103.96,103.62
105.14,104.42,104.2,103.92,103.8,104.1
105.4,105.14,104.25,103.96,103.3,103.96
105.07,105.4,104.42,104.2,103.92,103.8
104.59,105.07,105.14,104.25,103.96,103.3
103.22,104.59,105.4,104.42,104.2,103.92
103.17,103.22,105.07,105.14,104.25,103.96
103.02,103.17,104.59,105.4,104.42,104.2
104.6,103.02,103.22,105.07,105.14,104.25
104.98,104.6,103.17,104.59,105.4,104.42
104.84,104.98,103.02,103.22,105.07,105.14
106.56,104.84,104.6,103.17,104.59,105.4
108.3,106.56,104.98,103.02,103.22,105.07
108.94,108.3,104.84,104.6,103.17,104.59
109.16,108.94,106.56,104.98,103.02,103.22
109.64,109.16,108.3,104.84,104.6,103.17
110.51,109.64,108.94,106.56,104.98,103.02
111.12,110.51,109.16,108.3,104.84,104.6
110.98,111.12,109.64,108.94,106.56,104.98
112.58,110.98,110.51,109.16,108.3,104.84
113.17,112.58,111.12,109.64,108.94,106.56
112.36,113.17,110.98,110.51,109.16,108.3
112.78,112.36,112.58,111.12,109.64,108.94
114.34,112.78,113.17,110.98,110.51,109.16
114.34,114.34,112.36,112.58,111.12,109.64
113.76,114.34,112.78,113.17,110.98,110.51
114.1,113.76,114.34,112.36,112.58,111.12
113.98,114.1,114.34,112.78,113.17,110.98
113.5,113.98,113.76,114.34,112.36,112.58
114.16,113.5,114.1,114.34,112.78,113.17
115.17,114.16,113.98,113.76,114.34,112.36
115.34,115.17,113.5,114.1,114.34,112.78
115.26,115.34,114.16,113.98,113.76,114.34
115.06,115.26,115.17,113.5,114.1,114.34
118.32,115.06,115.34,114.16,113.98,113.76
117.74,118.32,115.26,115.17,113.5,114.1
116.6,117.74,115.06,115.34,114.16,113.98
117.86,116.6,118.32,115.26,115.17,113.5
117.79,117.86,117.74,115.06,115.34,114.16
117.48,117.79,116.6,118.32,115.26,115.17
117.22,117.48,117.86,117.74,115.06,115.34
117.52,117.22,117.79,116.6,118.32,115.26
117.66,117.52,117.48,117.86,117.74,115.06
116.32,117.66,117.22,117.79,116.6,118.32
116.78,116.32,117.52,117.48,117.86,117.74
117.68,116.78,117.66,117.22,117.79,116.6
117.38,117.68,116.32,117.52,117.48,117.86
115.46,117.38,116.78,117.66,117.22,117.79
116.85,115.46,117.68,116.32,117.52,117.48
116.07,116.85,117.38,116.78,117.66,117.22
115.74,116.07,115.46,117.68,116.32,117.52
116.26,115.74,116.85,117.38,116.78,117.66
113.87,116.26,116.07,115.46,117.68,116.32
115.03,113.87,115.74,116.85,117.38,116.78
112.96,115.03,116.26,116.07,115.46,117.68
113.4,112.96,113.87,115.74,116.85,117.38
115.3,113.4,115.03,116.26,116.07,115.46
112.9,115.3,112.96,113.87,115.74,116.85
113.63,112.9,113.4,115.03,116.26,116.07
113.6,113.63,115.3,112.96,113.87,115.74
114.7,113.6,112.9,113.4,115.03,116.26
115.16,114.7,113.63,115.3,112.96,113.87
113.86,115.16,113.6,112.9,113.4,115.03
112.72,113.86,114.7,113.63,115.3,112.96
113.29,112.72,115.16,113.6,112.9,113.4
112.48,113.29,113.86,114.7,113.63,115.3
112.42,112.48,112.72,115.16,113.6,112.9
112.32,112.42,113.29,113.86,114.7,113.63
112.14,112.32,112.48,112.72,115.16,113.6
111.74,112.14,112.42,113.29,113.86,114.7
113.24,111.74,112.32,112.48,112.72,115.16
113.22,113.24,112.14,112.42,113.29,113.86
113.79,113.22,111.74,112.32,112.48,112.72
114.34,113.79,113.24,112.14,112.42,113.29
114.17,114.34,113.22,111.74,112.32,112.48
113.36,114.17,113.79,113.24,112.14,112.42
112.86,113.36,114.34,113.22,111.74,112.32
113.48,112.86,114.17,113.79,113.24,112.14
113.46,113.48,113.36,114.34,113.22,111.74
112.68,113.46,112.86,114.17,113.79,113.24
112.26,112.68,113.48,113.36,114.34,113.22
112.01,112.26,113.46,112.86,114.17,113.79
112.06,112.01,112.68,113.48,113.36,114.34
113.66,112.06,112.26,113.46,112.86,114.17
114.45,113.66,112.01,112.68,113.48,113.36
114.6,114.45,112.06,112.26,113.46,112.86
113.92,114.6,113.66,112.01,112.68,113.48
113.99,113.92,114.45,112.06,112.26,113.46
114.58,113.99,114.6,113.66,112.01,112.68
114.71,114.58,113.92,114.45,112.06,112.26
115.02,114.71,113.99,114.6,113.66,112.01
114.61,115.02,114.58,113.92,114.45,112.06
114.63,114.61,114.71,113.99,114.6,113.66
114.66,114.63,115.02,114.58,113.92,114.45
113.02,114.66,114.61,114.71,113.99,114.6
112.67,113.02,114.63,115.02,114.58,113.92
112.59,112.67,114.66,114.61,114.71,113.99
111.9,112.59,113.02,114.63,115.02,114.58
111.06,111.9,112.67,114.66,114.61,114.71
111.12,111.06,112.59,113.02,114.63,115.02
111.03,111.12,111.9,112.67,114.66,114.61
110.48,111.03,111.06,112.59,113.02,114.63
110.56,110.48,111.12,111.9,112.67,114.66
111.05,110.56,111.03,111.06,112.59,113.02
111.36,111.05,110.48,111.12,111.9,112.67
111.41,111.36,110.56,111.03,111.06,112.59
110.96,111.41,111.05,110.48,111.12,111.9
110.74,110.96,111.36,110.56,111.03,111.06
111.2,110.74,111.41,111.05,110.48,111.12
111.02,111.2,110.96,111.36,110.56,111.03
110.76,111.02,110.74,111.41,111.05,110.48
110.95,110.76,111.2,110.96,111.36,110.56
109.74,110.95,111.02,110.74,111.41,111.05
109.54,109.74,110.76,111.2,110.96,111.36
109.23,109.54,110.95,111.02,110.74,111.41
108.63,109.23,109.74,110.76,111.2,110.96
108.46,108.63,109.54,110.95,111.02,110.74
108.4,108.46,109.23,109.74,110.76,111.2
109.06,108.4,108.63,109.54,110.95,111.02
109.34,109.06,108.46,109.23,109.74,110.76
109.08,109.34,108.4,108.63,109.54,110.95
109.74,109.08,109.06,108.46,109.23,109.74
110.88,109.74,109.34,108.4,108.63,109.54
111.52,110.88,109.08,109.06,108.46,109.23
111.13,111.52,109.74,109.34,108.4,108.63
111.44,111.13,110.88,109.08,109.06,108.46
111.78,111.44,111.52,109.74,109.34,108.4
112.06,111.78,111.13,110.88,109.08,109.06
112.34,112.06,111.44,111.52,109.74,109.34
112.7,112.34,111.78,111.13,110.88,109.08
112.63,112.7,112.06,111.44,111.52,109.74
112.84,112.63,112.34,111.78,111.13,110.88
114.19,112.84,112.7,112.06,111.44,111.52
114.02,114.19,112.63,112.34,111.78,111.13
113.77,114.02,112.84,112.7,112.06,111.44
113.3,113.77,114.19,112.63,112.34,111.78
113.54,113.3,114.02,112.84,112.7,112.06
113.24,113.54,113.77,114.19,112.63,112.34
111.46,113.24,113.3,114.02,112.84,112.7
110.82,111.46,113.54,113.77,114.19,112.63
111.47,110.82,113.24,113.3,114.02,112.84
111.15,111.47,111.46,113.54,113.77,114.19
111.64,111.15,110.82,113.24,113.3,114.02
112.02,111.64,111.47,111.46,113.54,113.77
111.7,112.02,111.15,110.82,113.24,113.3
111.3,111.7,111.64,111.47,111.46,113.54
110.68,111.3,112.02,111.15,110.82,113.24
110.71,110.68,111.7,111.64,111.47,111.46
111.24,110.71,111.3,112.02,111.15,110.82
110.49,111.24,110.68,111.7,111.64,111.47
110.49,110.49,110.71,111.3,112.02,111.15
109.34,110.49,111.24,110.68,111.7,111.64
109.54,109.34,110.49,110.71,111.3,112.02
110.1,109.54,110.49,111.24,110.68,111.7
110.61,110.1,109.34,110.49,110.71,111.3
109.72,110.61,109.54,110.49,111.24,110.68
110.12,109.72,110.1,109.34,110.49,110.71
109.16,110.12,110.61,109.54,110.49,111.24
110.66,109.16,109.72,110.1,109.34,110.49
110.84,110.66,110.12,110.61,109.54,110.49
111.34,110.84,109.16,109.72,110.1,109.34
111.46,111.34,110.66,110.12,110.61,109.54
111.58,111.46,110.84,109.16,109.72,110.1
111.36,111.58,111.34,110.66,110.12,110.61
111.26,111.36,111.46,110.84,109.16,109.72
111.48,111.26,111.58,111.34,110.66,110.12
112.42,111.48,111.36,111.46,110.84,109.16
112.18,112.42,111.26,111.58,111.34,110.66
112.32,112.18,111.48,111.36,111.46,110.84
112.4,112.32,112.42,111.26,111.58,111.34
113.32,112.4,112.18,111.48,111.36,111.46
113.2,113.32,112.32,112.42,111.26,111.58
113.28,113.2,112.4,112.18,111.48,111.36
114.1,113.28,113.32,112.32,112.42,111.26
114.08,114.1,113.2,112.4,112.18,111.48
114.2,114.08,113.28,113.32,112.32,112.42
113.19,114.2,114.1,113.2,112.4,112.18
113.39,113.19,114.08,113.28,113.32,112.32
112.66,113.39,114.2,114.1,113.2,112.4
112.76,112.66,113.19,114.08,113.28,113.32
111.89,112.76,113.39,114.2,114.1,113.2
111.77,111.89,112.66,113.19,114.08,113.28
111.68,111.77,112.76,113.39,114.2,114.1
111.18,111.68,111.89,112.66,113.19,114.08
111.1,111.18,111.77,112.76,113.39,114.2
111.57,111.1,111.68,111.89,112.66,113.19
112.1,111.57,111.18,111.77,112.76,113.39
111.62,112.1,111.1,111.68,111.89,112.66
110.87,111.62,111.57,111.18,111.77,112.76
110.38,110.87,112.1,111.1,111.68,111.89
110.33,110.38,111.62,111.57,111.18,111.77
110.43,110.33,110.87,112.1,111.1,111.68
110.12,110.43,110.38,111.62,111.57,111.18
110.76,110.12,110.33,110.87,112.1,111.1
110.76,110.76,110.43,110.38,111.62,111.57
110.74,110.76,110.12,110.33,110.87,112.1
110.04,110.74,110.76,110.43,110.38,111.62
109.37,110.04,110.76,110.12,110.33,110.87
109.06,109.37,110.74,110.76,110.43,110.38
109.48,109.06,110.04,110.76,110.12,110.33
110.42,109.48,109.37,110.74,110.76,110.43
110.8,110.42,109.06,110.04,110.76,110.12
109.88,110.8,109.48,109.37,110.74,110.76
109.32,109.88,110.42,109.06,110.04,110.76
108.89,109.32,110.8,109.48,109.37,110.74
109.4,108.89,109.88,110.42,109.06,110.04
109.14,109.4,109.32,110.8,109.48,109.37
109.34,109.14,108.89,109.88,110.42,109.06
109.24,109.34,109.4,109.32,110.8,109.48
109.22,109.24,109.14,108.89,109.88,110.42
109.02,109.22,109.34,109.4,109.32,110.8
110.2,109.02,109.24,109.14,108.89,109.88
110.06,110.2,109.22,109.34,109.4,109.32
110.09,110.06,109.02,109.24,109.14,108.89
108.94,110.09,110.2,109.22,109.34,109.4
108.75,108.94,110.06,109.02,109.24,109.14
108.26,108.75,110.09,110.2,109.22,109.34
107.72,108.26,108.94,110.06,109.02,109.24
109.03,107.72,108.75,110.09,110.2,109.22
110.01,109.03,108.26,108.94,110.06,109.02
110.58,110.01,107.72,108.75,110.09,110.2
110.66,110.58,109.03,108.26,108.94,110.06
110.84,110.66,110.01,107.72,108.75,110.09
111.48,110.84,110.58,109.03,108.26,108.94
111.49,111.48,110.66,110.01,107.72,108.75
111.5,111.49,110.84,110.58,109.03,108.26
112.3,111.5,111.48,110.66,110.01,107.72
112.01,112.3,111.49,110.84,110.58,109.03
111.64,112.01,111.5,111.48,110.66,110.01
112.16,111.64,112.3,111.49,110.84,110.58
112.76,112.16,112.01,111.5,111.48,110.66
112.66,112.76,111.64,112.3,111.49,110.84
112.64,112.66,112.16,112.01,111.5,111.48
112.6,112.64,112.76,111.64,112.3,111.49
112.8,112.6,112.66,112.16,112.01,111.5
112.84,112.8,112.64,112.76,111.64,112.3
112.74,112.84,112.6,112.66,112.16,112.01
112.68,112.74,112.8,112.64,112.76,111.64
112.15,112.68,112.84,112.6,112.66,112.16
112.35,112.15,112.74,112.8,112.64,112.76
112.38,112.35,112.68,112.84,112.6,112.66
111.94,112.38,112.15,112.74,112.8,112.64
111.72,111.94,112.35,112.68,112.84,112.6
112.32,111.72,112.38,112.15,112.74,112.8
112.94,112.32,111.94,112.35,112.68,112.84
112.54,112.94,111.72,112.38,112.15,112.74
113.5,112.54,112.32,111.94,112.35,112.68
113.66,113.5,112.94,111.72,112.38,112.15
113.92,113.66,112.54,112.32,111.94,112.35
113.7,113.92,113.5,112.94,111.72,112.38
113.72,113.7,113.66,112.54,112.32,111.94
113.82,113.72,113.92,113.5,112.94,111.72
113.26,113.82,113.7,113.66,112.54,112.32
113.63,113.26,113.72,113.92,113.5,112.94
114.04,113.63,113.82,113.7,113.66,112.54
113.84,114.04,113.26,113.72,113.92,113.5
114.25,113.84,113.63,113.82,113.7,113.66
113.9,114.25,114.04,113.26,113.72,113.92
113.9,113.9,113.84,113.63,113.82,113.7
113.62,113.9,114.25,114.04,113.26,113.72
113.4,113.62,113.9,113.84,113.63,113.82
113.62,113.4,113.9,114.25,114.04,113.26
113.5,113.62,113.62,113.9,113.84,113.63
113.15,113.5,113.4,113.9,114.25,114.04
112.89,113.15,113.62,113.62,113.9,113.84
111.98,112.89,113.5,113.4,113.9,114.25
112.49,111.98,113.15,113.62,113.62,113.9
112.46,112.49,112.89,113.5,113.4,113.9
111.62,112.46,111.98,113.15,113.62,113.62
111.54,111.62,112.49,112.89,113.5,113.4
111,111.54,112.46,111.98,113.15,113.62
111.13,111,111.62,112.49,112.89,113.5
111.75,111.13,111.54,112.46,111.98,113.15
112.3,111.75,111,111.62,112.49,112.89
111.88,112.3,111.13,111.54,112.46,111.98
112.8,111.88,111.75,111,111.62,112.49
112.76,112.8,112.3,111.13,111.54,112.46
112.32,112.76,111.88,111.75,111,111.62
112.7,112.32,112.8,112.3,111.13,111.54
113.55,112.7,112.76,111.88,111.75,111
113.34,113.55,112.32,112.8,112.3,111.13
113.62,113.34,112.7,112.76,111.88,111.75
113.19,113.62,113.55,112.32,112.8,112.3
112.56,113.19,113.34,112.7,112.76,111.88
